prompt,prompt_id,file_count,contain_keyword,n,eh,v,axr
Coconut cream pie makes a nice dessert.,sx33,7,False,2,0,0,0
Don't do Charlie's dirty dishes.,sx34,7,False,1,0,0,1
Help celebrate your brother's success.,sx35,7,False,0,3,0,2
Only the most accomplished artists obtain popularity.,sx36,7,False,0,2,0,1
Critical equipment needs proper maintenance.,sx37,7,False,5,0,0,1
Young people participate in athletic activities.,sx38,7,False,1,1,1,1
Barb's gold bracelet was a graduation present.,sx39,7,False,0,1,0,0
Stimulating discussions keep students' attention.,sx40,7,False,4,1,0,0
Etiquette mandates compliance with existing regulations.,sx41,7,False,3,3,0,0
Biblical scholars argue history.,sx42,7,False,0,0,0,0
Elderly people are often excluded.,sx43,7,False,1,1,0,1
Basketball can be an entertaining sport.,sx44,7,False,5,0,0,1
Addition and subtraction are learned skills.,sx45,7,False,4,1,0,0
That pickpocket was caught red-handed.,sx46,7,False,1,1,0,0
Mom strongly dislikes appetizers.,sx47,7,False,0,0,0,1
Grandmother outgrew her upbringing in petticoats.,sx48,7,False,2,1,0,2
At twilight on the twelfth day we'll have Chablis.,sx49,7,False,1,1,1,0
Catastrophic economic cutbacks neglect the poor.,sx50,7,False,2,1,0,1
Ambidextrous pickpockets accomplish more.,sx51,7,False,0,1,0,0
Her classical performance gained critical acclaim.,sx52,7,False,2,0,0,1
Even a simple vocabulary contains symbols.,sx53,7,False,3,1,3,0
The eastern coast is a place for pure pleasure and excitement.,sx54,7,False,1,1,0,2
The lack of heat compounded the tenant's grievances.,sx55,7,False,4,0,2,0
Academic aptitude guarantees your diploma.,sx56,7,False,1,1,0,0
The prowler wore a ski mask for disguise.,sx57,7,False,0,0,0,1
We experience distress and frustration obtaining our degrees.,sx58,7,False,3,2,0,1
The singer's finger had a splinter.,sx59,7,False,0,1,0,3
The legislature met to judge the state of public education.,sx60,7,False,1,3,1,1
Chocolate and roses never fail as a romantic gift.,sx61,7,True,1,1,1,1
Any contributions will be greatly appreciated.,sx62,7,False,3,0,0,0
Continental drift is a geological theory.,sx63,7,False,1,1,0,1
Regular attendance is seldom required.,sx64,7,False,2,3,0,2
Challenge each general's intelligence.,sx65,7,False,3,1,0,1
We got drenched from the uninterrupted rain.,sx66,7,False,2,1,0,0
Last year's gas shortage caused steep price increases.,sx67,7,False,1,0,0,1
Upgrade your status to reflect your wealth.,sx68,7,False,0,3,0,1
Eat your raisins outdoors on the porch steps.,sx69,7,False,2,1,0,0
Did you eat yet?,sx70,7,False,0,1,0,0
Porcupines resemble sea urchins.,sx71,7,False,2,1,0,0
Spring Street is straight ahead.,sx72,7,False,0,1,0,0
Cliff's display was misplaced on the screen.,sx73,7,False,2,0,0,0
An official deadline cannot be postponed.,sx74,7,False,4,1,0,0
Fill that canteen with fresh spring water.,sx75,7,False,2,1,0,1
Gently place Jim's foam sculpture in the box.,sx76,7,False,2,1,0,1
Bagpipes and bongos are musical instruments.,sx77,7,False,3,0,0,1
Doctors prescribe drugs too freely.,sx78,7,False,0,0,0,1
Will you please describe the idiotic predicament.,sx79,7,False,1,0,0,1
It's illegal to postdate a check.,sx80,7,False,0,1,0,0
It's impossible to deal with bureaucracy.,sx81,7,False,0,0,0,2
Good service should be rewarded by big tips.,sx82,7,False,0,0,1,0
My instructions desperately need updating.,sx83,7,False,2,1,0,1
Cooperation along with understanding alleviate dispute.,sx84,7,False,2,0,1,1
Cement is measured in cubic yards.,sx85,7,False,2,2,0,1
Hispanic costumes are quite colorful.,sx86,7,False,1,0,0,2
Primitive tribes have an upbeat attitude.,sx87,7,False,1,1,2,1
Flying standby can be practical if you want to save money.,sx88,7,False,2,0,1,0
It's hard to tell an original from a forgery.,sx89,7,False,1,1,0,1
The Thinker is a famous sculpture.,sx90,7,False,0,0,0,1
The misprint provoked an immediate disclaimer.,sx91,7,False,2,0,1,2
A large household needs lots of appliances.,sx92,7,False,2,0,1,0
Cut a small corner off each edge.,sx93,7,False,0,1,0,0
Youngsters love common candy as treats.,sx94,7,False,2,1,1,0
Iguanas and alligators are tropical reptiles.,sx95,7,False,2,2,0,1
Masquerade parties tax one's imagination.,sx96,7,False,2,0,0,1
Penguins live near the icy Antarctic.,sx97,7,False,3,0,1,1
Guess the question from the answer.,sx98,7,False,2,1,0,2
Medieval society was based on hierarchies.,sx99,7,False,1,0,1,1
Project development was proceeding too slowly.,sx100,7,False,1,1,1,0
Kindergarten children decorate their classrooms for all holidays.,sx101,7,False,2,1,0,4
Special task forces rescue hostages from kidnappers.,sx102,7,False,1,2,0,1
Call an ambulance for medical assistance.,sx103,7,False,1,1,0,1
He stole a dime from a beggar.,sx104,7,False,0,0,0,0
You must explicitly delete files.,sx105,7,False,0,0,0,0
A huge tapestry hung in her hallway.,sx106,7,False,1,0,0,1
Birthday parties have cupcakes and ice cream.,sx107,7,False,1,0,1,0
His scalp was blistered from today's hot sun.,sx108,7,False,1,0,0,0
She slipped and sprained her ankle on the steep slope.,sx109,7,False,4,0,0,0
The best way to learn is to solve extra problems.,sx110,7,False,1,2,1,1
His sudden departure shocked the cast.,sx111,7,False,0,0,0,1
Tugboats are capable of hauling huge loads.,sx112,7,False,0,0,1,1
A muscular abdomen is good for your back.,sx113,7,False,1,0,0,1
The cartoon features a muskrat and a tadpole.,sx114,7,False,1,0,0,1
The emblem depicts the Acropolis all aglow.,sx115,7,False,0,1,0,0
Clasp the screw in your left hand.,sx116,7,False,2,1,0,1
The mango and the papaya are in a bowl.,sx117,7,False,1,0,0,0
Combine all the ingredients in a large bowl.,sx118,7,False,2,0,0,0
The misquote was retracted with an apology.,sx119,7,False,1,0,0,0
"The coyote, bobcat, and hyena are wild animals.",sx120,7,False,1,0,0,0
Trespassing is forbidden and subject to penalty.,sx121,7,False,2,2,0,1
Encyclopedias seldom present anecdotal evidence.,sx122,7,False,3,3,1,1
A screwdriver is made from vodka and orange juice.,sx123,7,False,2,0,2,1
Objects made of pewter are beautiful.,sx124,7,False,0,1,1,1
Westchester is a county in New York.,sx125,7,False,1,2,0,1
Artificial intelligence is for real.,sx126,7,False,2,1,0,1
The emperor had a mean temper.,sx127,7,False,1,2,0,1
Lots of foreign movies have subtitles.,sx128,7,False,1,0,2,1
Angora cats are furrier than Siamese.,sx129,7,False,1,1,0,1
He ate four extra eggs for breakfast.,sx130,7,False,0,4,0,2
We plan to build a new beverage plant.,sx131,7,False,3,1,1,1
Publicity and notoriety go hand in hand.,sx132,7,False,4,0,0,0
Pizzerias are convenient for a quick lunch.,sx133,7,False,4,0,1,2
December and January are nice months to spend in Miami.,sx134,7,False,6,4,0,0
Technical writers can abbreviate in bibliographies.,sx135,7,False,2,1,1,2
Scientific progress comes from the development of new techniques.,sx136,7,False,4,2,2,1
Tradition requires parental approval for under-age marriage.,sx137,7,False,2,1,1,5
The clumsy customer spilled some expensive perfume.,sx138,7,False,1,1,1,2
The bungalow was pleasantly situated near the shore.,sx139,7,False,2,1,0,1
Agricultural products are unevenly distributed.,sx140,7,False,0,0,1,2
Pledge to participate in Nevada's aquatic competition.,sx141,7,False,2,1,1,1
Which long article was opaque and needed clarification?,sx142,7,False,2,1,0,1
The sound of Jennifer's bugle scared the antelope.,sx143,7,False,2,2,1,1
The willowy woman wore a muskrat coat.,sx144,7,False,1,0,0,0
Too much curiosity can get you into trouble.,sx145,7,False,1,0,0,0
Cyclical programs will never compile.,sx146,7,True,1,1,1,1
Correct execution of my instructions is crucial.,sx147,7,False,3,2,1,1
Most precincts had a third of the votes counted.,sx148,7,False,0,0,2,0
While waiting for Chipper she crisscrossed the square many times.,sx149,7,False,1,2,0,2
Vietnamese cuisine is exquisite.,sx150,7,False,2,0,1,0
The previous speaker presented ambiguous results.,sx151,7,False,0,1,1,2
"Mosquitoes exist in warm, humid climates.",sx152,7,False,1,0,0,0
Scholastic aptitude is judged by standardized tests.,sx153,7,False,1,1,0,1
Orange juice tastes funny after toothpaste.,sx154,7,False,2,0,0,1
The water contained too much chlorine and stung his eyes.,sx155,7,False,4,0,0,1
Our experiment's positive outcome was unexpected.,sx156,7,False,1,2,1,1
Remove the splinter with a pair of tweezers.,sx157,7,False,1,1,2,1
The drunkard is a social outcast.,sx158,7,False,0,0,0,1
The government sought authorization of his citizenship.,sx159,7,False,2,0,2,2
"As coauthors, we presented our new book to the haughty audience.",sx160,7,False,2,1,0,2
"As a precaution, the outlaws bought gunpowder for their stronghold.",sx161,7,False,2,1,0,1
Her auburn hair reminded him of autumn leaves.,sx162,7,False,2,1,2,2
They remained lifelong friends and companions.,sx163,7,False,5,2,0,0
Curiosity and mediocrity seldom coexist.,sx164,7,False,0,1,0,0
The easygoing zoologist relaxed throughout the voyage.,sx165,7,False,0,0,1,0
Biologists use radioactive isotopes to study microorganisms.,sx166,7,False,1,0,1,0
Employee layoffs coincided with the company's reorganization.,sx167,7,False,2,0,0,0
Who took the kayak down the bayou?,sx168,7,False,1,0,0,0
How would you evaluate this algebraic expression?,sx169,7,False,0,1,1,0
The Mayan neoclassic scholar disappeared while surveying ancient ruins.,sx170,7,False,6,0,1,3
"The diagnosis was discouraging; however, he was not overly worried.",sx171,7,False,2,1,2,1
The triumphant warrior exhibited naive heroism.,sx172,7,False,2,1,1,0
Whoever cooperates in finding Nan's cameo will be rewarded.,sx173,7,False,4,1,1,1
The haunted house was a hit due to outstanding audio-visual effects.,sx174,7,False,1,2,1,0
Severe myopia contributed to Ron's inferiority complex.,sx175,7,False,3,1,1,2
Buying a thoroughbred horse requires intuition and expertise.,sx176,7,False,1,2,0,2
Does Creole cooking use curry?,sx177,7,False,0,0,0,0
She encouraged her children to make their own Halloween costumes.,sx178,7,False,4,0,0,1
We could barely see the fjords through the snow flurries.,sx179,7,False,1,1,0,1
Almost all colleges are now coeducational.,sx180,7,False,2,1,0,0
Rich looked for spotted hyenas and jaguars on the safari.,sx181,7,False,3,0,0,1
Thick glue oozed out of the tube.,sx182,7,False,0,0,1,0
Why else would Danny allow others to go?,sx183,7,False,1,1,0,0
The cat's meow always hurts my ears.,sx184,7,False,0,0,0,0
Did you buy any corduroy overalls?,sx185,7,False,1,0,1,2
Would a tomboy often play outdoors?,sx186,7,False,1,0,0,1
They often go out in the evening.,sx187,7,False,4,0,1,0
Who authorized the unlimited expense account?,sx188,7,False,3,1,0,1
Destroy every file related to my audits.,sx189,7,False,0,1,1,0
Serve the coleslaw after I add the oil.,sx190,7,False,0,0,1,1
Withdraw all phony accusations at once.,sx191,7,False,1,0,0,0
Straw hats are out of fashion this year.,sx192,7,False,1,0,0,1
Why buy oil when you always use mine?,sx193,7,False,2,0,0,0
They enjoy it when I audition.,sx194,7,False,2,0,0,0
Would you allow acts of violence?,sx195,7,False,1,0,1,0
How do oysters make pearls?,sx196,7,False,0,0,0,1
Draw each graph on a new axis.,sx197,7,False,2,0,0,0
Norwegian sweaters are made of lamb's wool.,sx198,7,False,2,1,1,0
Young children should avoid exposure to contagious diseases.,sx199,7,False,2,0,1,0
Ralph controlled the stopwatch from the bleachers.,sx200,7,False,1,0,0,2
Approach your interview with statuesque composure.,sx201,7,False,0,1,1,2
How much allowance do you get?,sx202,7,False,1,1,0,0
The causeway ended abruptly at the shore.,sx203,7,False,1,0,0,1
Even I occasionally get the Monday blues!,sx204,7,False,2,1,1,0
Military personnel are expected to obey government orders.,sx205,7,False,1,2,1,2
"When peeling an orange, it is hard not to spray juice.",sx206,7,False,3,0,0,1
Do you hear the sleigh bells ringing?,sx207,7,False,0,1,0,0
Rob sat by the pond and sketched the stray geese.,sx208,7,False,2,2,0,0
Michael colored the bedroom wall with crayons.,sx209,7,False,1,1,0,1
Jeff's toy go-cart never worked!,sx210,7,True,1,2,1,1
Only the best players enjoy popularity.,sx211,7,False,2,2,0,1
I gave them several choices and let them set the priorities.,sx212,7,False,1,5,2,1
The news agency hired a great journalist.,sx213,7,False,2,0,0,2
The morning dew on the spider web glistened in the sun.,sx214,7,False,3,1,0,1
The sermon emphasized the need for affirmative action.,sx215,7,False,2,1,1,2
The small boy put the worm on the hook.,sx216,7,False,1,0,0,0
How permanent are their records?,sx217,7,False,2,2,0,1
Try to recall the events in chronological order.,sx218,7,False,1,1,1,2
Nonprofit organizations have frequent fund raisers.,sx219,7,False,5,1,0,1
The most recent geological survey found seismic activity.,sx220,7,False,1,0,2,0
Cory attacked the project with extra determination.,sx221,7,False,1,1,0,1
You always come up with pathological examples.,sx222,7,False,0,0,0,0
Put the butcher block table in the garage.,sx223,7,False,1,0,0,2
How good is your endurance?,sx224,7,False,1,0,0,0
Keep the thermometer under your tongue!,sx225,7,False,1,0,0,3
Steph could barely handle the psychological trauma.,sx226,7,False,1,2,0,1
It's healthier to cook without sugar.,sx227,7,False,0,1,0,2
The viewpoint overlooked the ocean.,sx228,7,False,2,0,2,1
Are you looking for employment?,sx229,7,False,1,0,0,1
"Allow leeway here, but rationalize all errors.",sx230,7,False,0,0,0,1
I honor my mom.,sx231,7,False,0,0,0,1
His failure to open the store by eight cost him his job.,sx232,7,False,1,1,0,0
Highway and freeway mean the same thing.,sx233,7,False,2,1,0,0
The paper boy bought two apples and three ices.,sx234,7,False,0,0,0,1
I itemize all accounts in my agency.,sx235,7,False,2,0,0,0
Clear pronunciation is appreciated.,sx236,7,False,3,0,0,2
The courier was a dwarf.,sx237,7,False,0,0,0,1
A doctor was in the ambulance with the patient.,sx238,7,False,2,0,0,1
Puree some fruit before preparing the skewers.,sx239,7,False,0,1,0,2
It's not easy to create illuminating examples.,sx240,7,False,2,0,0,0
The hallway opens into a huge chamber.,sx241,7,False,2,0,0,1
May I order a strawberry sundae after I eat dinner?,sx242,7,False,1,0,0,4
They all agree that the essay is barely intelligible.,sx243,7,False,1,3,0,0
Herb's birthday occurs frequently on Thanksgiving.,sx244,7,False,3,0,1,0
Does Hindu ideology honor cows?,sx245,7,False,1,0,0,1
How ancient is this subway escalator?,sx246,7,False,2,1,0,1
The cigarettes in the clay ashtray overflowed onto the oak table.,sx247,7,False,2,1,1,1
Reading in poor light gives you eyestrain.,sx248,7,False,2,0,1,0
I ate every oyster on Nora's plate.,sx249,7,False,1,1,1,1
The Boston Ballet overcame their funding shortage.,sx250,7,False,1,1,1,0
We apply auditory modeling to computer speech recognition.,sx251,7,False,2,1,0,0
The gorgeous butterfly ate a lot of nectar.,sx252,7,False,1,1,1,2
"By eating yogurt, you may live longer.",sx253,7,False,0,0,1,1
Do they allow atheists in church?,sx254,7,False,0,0,0,0
My ideal morning begins with hot coffee.,sx255,7,False,1,0,0,0
The irate actor stomped away idiotically.,sx256,7,False,0,0,0,1
We are open every Monday evening.,sx257,7,False,3,1,2,0
The essay undeniably reflects our view ably.,sx258,7,False,2,2,1,0
Tornados often destroy acres of farm land.,sx259,7,False,1,0,0,1
Remember to allow identical twins to enter freely.,sx260,7,False,2,3,0,1
Do you have the yellow ointment ready?,sx261,7,False,1,2,0,0
Can the agency overthrow alien forces?,sx262,7,False,2,1,1,0
How oily do you like your salad dressing?,sx263,7,False,1,1,0,1
We saw eight tiny icicles below our roof.,sx264,7,False,1,0,0,0
"The saw is broken, so chop the wood instead.",sx265,7,False,2,1,0,0
Withdraw only as much money as you need.,sx266,7,False,3,1,0,0
"Draw every outer line first, then fill in the interior.",sx267,7,False,4,2,1,1
The jaw operates by using antagonistic muscles.,sx268,7,False,2,0,0,1
Do atypical farmers grow oats?,sx269,7,False,0,0,0,1
Are holiday aprons available to us?,sx270,7,False,1,1,1,0
Be careful not to plow over the flower beds.,sx271,7,False,1,2,1,1
Allow each child to have an ice pop.,sx272,7,False,0,0,1,0
The angry boy answered but didn't look up.,sx273,7,False,1,0,0,1
Cliff was soothed by the luxurious massage.,sx274,7,False,0,0,0,0
Steve wore a bright red cashmere sweater.,sx275,7,False,0,2,1,1
John's brother repainted the garage door.,sx276,7,False,1,0,0,3
The rose corsage smelled sweet.,sx277,7,False,0,1,0,1
"To further his prestige, he occasionally reads the Wall Street Journal.",sx278,7,False,2,0,0,1
Alice's ability to work without supervision is noteworthy.,sx279,7,False,2,0,1,0
The oasis was a mirage.,sx280,7,False,0,0,0,1
Cory and Trish played tag with beach balls for hours.,sx281,7,False,1,0,0,2
The tooth fairy forgot to come when Roger's tooth fell out.,sx282,7,False,1,1,0,2
Planned parenthood organizations promote birth control.,sx283,7,False,3,1,0,0
Jeff thought you argued in favor of a centrifuge purchase.,sx284,7,False,2,1,2,2
Rich purchased several signed lithographs.,sx285,7,False,1,1,1,0
"In every major cloverleaf, traffic sometimes gets backed up.",sx286,7,False,1,2,2,2
"In the long run, it pays to buy quality clothing.",sx287,7,False,2,0,0,0
Brush fires are common in the dry underbrush of Nevada.,sx288,7,False,3,0,2,1
Weatherproof galoshes are very useful in Seattle.,sx289,7,False,1,1,1,1
This brochure is particularly informative for a prospective buyer.,sx290,7,False,1,0,1,2
The avalanche triggered a minor earthquake.,sx291,7,False,1,0,1,1
These exclusive documents must be locked up at all times.,sx292,7,False,1,0,1,0
Please take this dirty table cloth to the cleaners for me.,sx293,7,False,0,0,0,2
Should giraffes be kept in small zoos?,sx294,7,False,1,1,0,1
"If Carol comes tomorrow, have her arrange for a meeting at two.",sx295,7,False,2,2,1,0
The two artists exchanged autographs.,sx296,7,False,1,0,0,1
Rock-and-roll music has a great rhythm.,sx297,7,False,1,0,0,0
I'd rather not buy these shoes than be overcharged.,sx298,7,False,2,1,1,1
Shaving cream is a popular item on Halloween.,sx299,7,False,2,0,1,1
Amoebas change shape constantly.,sx300,7,False,3,0,0,0
We like bleu cheese but Victor prefers swiss cheese.,sx301,7,False,0,0,1,1
Tofu is made from processed soybeans.,sx302,7,False,1,1,0,0
The bluejay flew over the high building.,sx303,7,False,0,0,1,1
Cheap stockings run the first time they're worn.,sx304,7,False,2,1,0,2
Cottage cheese with chives is delicious.,sx305,7,False,0,0,0,0
A chosen few will become Generals.,sx306,7,False,1,1,0,1
The meeting is now adjourned.,sx307,7,False,2,0,0,1
Shipbuilding is a most fascinating process.,sx308,7,False,1,1,0,0
The proof that you are seeking is not available in books.,sx309,7,False,2,1,1,0
The hood of the jeep was steaming in the hot sun.,sx310,7,False,2,0,0,0
My desires are simple: give me one informative paragraph on the subject.,sx311,7,False,4,0,0,3
Those answers will be straightforward if you think them through carefully first.,sx312,7,False,1,2,0,2
Drop five forms in the box before you go out.,sx313,7,False,1,0,1,0
"If people were more generous, there would be no need for welfare.",sx314,7,False,2,4,0,2
Bob found more clams at the ocean's edge.,sx315,7,False,2,1,0,0
That dog chases cats mercilessly.,sx316,7,False,0,0,0,1
The cranberry bog gets very pretty in Autumn.,sx317,7,False,2,0,1,1
Please dig my potatoes up before frost.,sx318,7,False,0,0,0,0
A big goat idly ambled through the farmyard.,sx319,7,False,0,0,0,0
The nearest synagogue may not be within walking distance.,sx320,7,False,4,0,0,0
"The groundhog clearly saw his shadow, but stayed out only a moment.",sx321,7,False,2,0,0,0
A leather handbag would be a suitable gift.,sx322,7,False,1,1,0,0
The fog prevented them from arriving on time.,sx323,7,False,3,2,2,1
The local drugstore was charged with illegally dispensing tranquilizers.,sx324,7,False,2,1,0,1
The full moon shone brightly that night.,sx325,7,False,3,1,0,0
Steve collects rare and novel coins.,sx326,7,False,2,3,2,0
Al received a joint appointment in the biology and the engineering departments.,sx327,7,False,5,0,0,0
Gregory and Tom chose to watch cartoons in the afternoon.,sx328,7,False,4,2,0,1
Chip postponed alimony payments until the latest possible date.,sx329,7,False,4,0,0,0
Count the number of teaspoons of soysauce that you add.,sx330,7,False,3,1,2,0
The big dog loved to chew on the old rag doll.,sx331,7,False,1,0,1,0
Todd placed top priority on getting his bike fixed.,sx332,7,False,1,1,0,1
An adult male baboon's teeth are not suitable for eating shellfish.,sx333,7,False,3,2,0,1
Often you'll get back more than you put in.,sx334,7,False,3,1,0,0
Gus saw pine trees and redwoods on his walk through Sequoia National Forest.,sx335,7,False,4,1,0,1
Rob made Hungarian goulash for dinner and gooseberry pie for dessert.,sx336,7,False,1,2,0,0
Bob bandaged both wounds with the skill of a doctor.,sx337,7,False,2,0,1,1
"The dark, murky lagoon wound around for miles.",sx338,7,False,3,0,0,2
Did Shawn catch that big goose without help?,sx339,7,False,1,3,0,0
Ducks have webbed feet and colorful feathers.,sx340,7,False,0,3,1,2
The high security prison was surrounded by barbed wire.,sx341,7,False,2,0,0,3
Take charge of choosing her bride's maids' gowns.,sx342,7,False,1,0,1,1
The frightened child was gently subdued by his big brother.,sx343,7,False,1,1,0,1
I know I didn't meet her early enough.,sx344,7,False,2,0,0,0
Trish saw hours and hours of movies Saturday.,sx345,7,False,0,0,2,3
The barracuda recoiled from the serpent's poisonous fangs.,sx346,7,False,1,1,0,0
The patient and the surgeon are both recuperating from the lengthy operation.,sx347,7,False,4,2,0,0
I'll have a scoop of that exotic purple and turquoise sherbet.,sx348,7,False,1,1,2,1
The preschooler couldn't verbalize her feelings about the emergency conditions.,sx349,7,False,2,0,1,0
Many wealthy tycoons splurged and bought both a yacht and a schooner.,sx350,7,False,4,2,0,1
The new suburbanites worked hard on refurbishing their older home.,sx351,7,False,1,0,0,2
"According to my interpretation of the problem, two lines must be perpendicular.",sx352,7,False,3,0,1,3
A connoisseur will enjoy this shellfish dish.,sx353,7,False,1,1,0,0
A lawyer was appointed to execute her will.,sx354,7,False,0,1,0,0
Dolphins are intelligent marine mammals.,sx355,7,False,4,1,0,1
Diane may splurge and buy a turquoise necklace.,sx356,7,False,2,1,0,1
"The moisture in my eyes is from eyedrops, not from tears.",sx357,7,False,2,0,0,2
George seldom watches daytime movies.,sx358,7,False,0,1,1,0
"The system may break down soon, so save your files frequently.",sx359,7,False,3,0,1,1
I assume moisture will damage this ship's hull.,sx360,7,False,0,1,0,1
The speech symposium might begin Monday.,sx361,7,False,2,0,0,0
The annoying raccoons slipped into Phil's garden every night.,sx362,7,False,4,1,1,0
The cow wandered from the farmland and became lost.,sx363,7,False,1,0,0,0
Each untimely income loss coincided with the breakdown of a heating system part.,sx364,7,False,4,0,1,0
The gunman kept his victim cornered at gunpoint for three hours.,sx365,7,False,5,2,1,1
Will you please confirm government policy regarding waste removal?,sx366,7,False,1,0,2,1
The surplus shoes were sold at a discount price.,sx367,7,False,1,1,0,0
Lori's costume needed black gloves to be completely elegant.,sx368,7,False,2,1,1,0
Bob papered over the living room murals.,sx369,7,False,1,0,2,0
That noise problem grows more annoying each day.,sx370,7,False,2,0,0,0
Right now may not be the best time for business mergers.,sx371,7,False,3,1,0,2
That diagram makes sense only after much study.,sx372,7,False,2,1,0,1
A boring novel is a superb sleeping pill.,sx373,7,False,2,0,1,0
John cleans shellfish for a living.,sx374,7,False,2,1,1,0
Growing well-kept gardens is very time consuming.,sx375,7,False,0,2,1,0
Women may never become completely equal to men.,sx376,7,True,3,2,1,1
She always jokes about too much garlic in his food.,sx377,7,False,1,0,0,0
I just saw Jim near the new archeological museum.,sx378,7,False,2,1,0,1
Pam gives driving lessons on Thursdays.,sx379,7,False,1,1,2,0
Why charge money for such garbage?,sx380,7,False,1,0,0,1
We welcome many new students each year.,sx381,7,False,3,2,0,1
George is paranoid about a future gas shortage.,sx382,7,False,1,0,0,1
The carpet cleaners shampooed our oriental rug.,sx383,7,False,1,2,0,1
Please shorten this skirt for Joyce.,sx384,7,False,0,0,0,1
His shoulder felt as if it were broken.,sx385,7,False,1,2,0,2
Which church do the Smiths worship in?,sx386,7,False,1,0,0,0
The giant redwoods shimmered in the glistening sun.,sx387,7,False,4,1,0,1
Her right hand aches whenever the barometric pressure changes.,sx388,7,False,3,4,1,3
They own a big house in the remote countryside.,sx389,7,False,3,0,0,0
He picked up nine pairs of socks for each brother.,sx390,7,False,2,1,0,2
They all like long hot showers.,sx391,7,False,0,0,0,1
A young mouse scampered across the field and disappeared.,sx392,7,False,1,0,0,1
She uses both names interchangeably.,sx393,7,False,3,0,0,1
Calcium makes bones and teeth strong.,sx394,7,False,2,0,0,0
"I took her word for it, but is she really going with you?",sx395,7,False,0,0,0,2
The fish began to leap frantically on the surface of the small lake.,sx396,7,False,2,0,0,0
Tim takes Sheila to see movies twice a week.,sx397,7,False,0,0,1,0
Children can consume many fruit candies in one sitting.,sx398,7,False,5,0,0,1
They assume no burglar will ever enter here.,sx399,7,False,1,2,1,1
Just drop notices in any suggestion box.,sx400,7,False,4,1,0,0
The taxicab broke down and caused a traffic jam.,sx401,7,False,2,0,0,0
We'll serve rhubarb pie after Rachel's talk.,sx402,7,False,0,1,1,1
Her wardrobe consists of only skirts and blouses.,sx403,7,False,3,0,1,1
Barb burned paper and leaves in a big bonfire.,sx404,7,False,3,0,1,2
Of course you can have another tunafish sandwich.,sx405,7,False,4,0,2,0
There was a gigantic wasp next to Irving's big top hat.,sx406,7,False,1,2,1,0
"Laugh, dance, and sing if fortune smiles upon you.",sx407,7,False,3,0,0,0
"I'd ride the subway, but I haven't enough change.",sx408,7,False,3,0,1,0
Eating spinach nightly increases strength miraculously.,sx409,7,False,3,0,0,0
Greg buys fresh milk each weekday morning.,sx410,7,False,0,2,0,0
Butterscotch fudge goes well with vanilla ice cream.,sx411,7,False,0,1,1,1
Gwen planted green beans in her vegetable garden.,sx412,7,False,3,2,1,0
Daphne's Swedish needlepoint scarf matched her skirt.,sx413,7,False,3,0,0,1
Irish youngsters eat fresh kippers for breakfast.,sx414,7,False,0,2,0,2
Move the garbage nearer to the large window.,sx415,7,False,2,0,1,1
A huge power outage rarely occurs.,sx416,7,False,0,0,0,1
Valley Lodge yearly celebrates the first calf born.,sx417,7,False,1,1,1,0
Iris thinks this zoo has eleven Spanish zebras.,sx418,7,False,2,1,1,0
The football team coach has a watch thin as a dime.,sx419,7,False,1,2,0,0
"Seamstresses attach zippers with a thimble, needle, and thread.",sx420,7,False,2,2,0,0
Those who teach values first abolish cheating.,sx421,7,False,0,0,1,0
